"","application_id","call_sign"
"596",167685,"WTTH"
"597",249281,"WFEN"
"598",145648,"DW08BW"
"599",1145544,"WRLJ"
"600",1511941,"WEAX"
"601",187374,"WRLL"
"602",202164,"DK233AB"
"603",1792030,"WDSO"
"604",1056283,"WNIN-FM"
"605",988495,"WNIN-FM"
"606",1653871,"WLAB"
"607",165981,"KSNP"
"608",1399056,"WKMV"
"609",1098301,"WARA-FM"
"610",1261907,"WHZN"
"611",155972,"K202BP"
"612",992269,"KBJQ"
"613",54966,"KVCO"
"614",167124,"K08ID-D"
"615",166701,"911115ME"
"616",1294421,"KYFW"
"617",1755216,"W202AZ"
"618",615694,"WSGP"
"619",1428420,"WEBF"
"620",1568772,"KJGM"
"621",1786853,"KBYS"
"622",199512,"DW13CR"
"623",603902,"WRBH"
"624",1033529,"KAPI"
"625",1439010,"KIEE"
"626",675818,"WBMT"
"627",1715113,"WIQH"
"628",1638775,"WYZX"
"629",107586,"KTGM"
"630",1539063,"WRPS"
"631",1796156,"WLVV"
"632",1370499,"WGBZ"
"633",166071,"WYDO"
"634",1088565,"WYAR"
"635",1785594,"WCBN-FM"
"636",212558,"WXOU"
"637",1413211,"WSMZ-FM"
"638",1483284,"WTCY"
"639",1503178,"WDTE"
"640",1257444,"WKIW"
"641",238858,"WCXK"
"642",1256141,"WKPK"
"643",162677,"DDK271AA"
"644",88544,"WNFA"
"645",1109679,"WSHJ"
"646",143199,"KVTI"
"647",670268,"KBPN"
"648",167790,"DW49BC"
"649",120607,"881122MO"
"650",167168,"DK09RS"
"651",167643,"WSST-TV"
"652",129769,"WLGT"
"653",1541367,"KITF"
"654",167197,"K10LD-D"
"655",1367263,"KJTS"
"656",144003,"K202BK"
"657",167420,"WJGV-CD"
"658",167200,"DK09TL"
"659",1491650,"KJGT"
"660",167675,"DK04KK"
"661",1408050,"KYEC"
"662",1555529,"KJAB-FM"
"663",202530,"WNJH"
"664",167000,"K13TE-D"
"665",1351254,"KWND"
"666",1359922,"KWND"
"667",507625,"W202BS"
"668",193929,"DWXOB-LP"
"669",617905,"WAFR"
"670",106666,"DK76AL"
"671",1548998,"KQQM"
"672",162600,"K260BR"
"673",1370954,"KJCG"
"674",1341716,"KYPW"
"675",1750291,"W202BQ"
"676",1046763,"WXBE"
"677",206673,"WLXK"
"678",621154,"WVRL"
"679",148535,"WUAW"
"680",575604,"W202BW"
"681",166344,"K07PG-D"
"682",166374,"911104TB"
"683",166376,"KTYM"
"684",534703,"W202BR"
"685",1488188,"W202CD"
"686",134509,"K206AA"
"687",167114,"DK07SJ"
"688",167299,"WGSF"
"689",1637172,"KEQQ-LP"
"690",554360,"KQIQ"
"691",279584,"K202CJ"
"692",167150,"DK09QZ"
"693",1675262,"KLNB"
"694",1435360,"KOLB"
"695",1247440,"KLJV"
"696",1792722,"WANH"
"697",116799,"KJZZ"
"698",1043225,"WVBH"
"699",197763,"940415GY"
"700",1479131,"WBGO"
"701",1049596,"KLYT"
"702",166063,"KPHF"
"703",1796767,"KLHK"
"704",1412312,"K202EF"
"705",158687,"WKVA"
"706",1363655,"WCOU"
"707",195516,"DK44DI-D"
"708",554790,"WVCR-FM"
"709",1776144,"WFSO"
"710",1731316,"W202CI"
"711",202317,"WLIW-FM"
"712",1067052,"WLIW-FM"
"713",42541,"WSBU"
"714",206163,"WAER"
"715",1338276,"WXLS"
"716",160897,"910503VP"
"717",541640,"WBWC"
"718",1496814,"WAIF"
"719",1490910,"W202CE"
"720",298561,"WMRT"
"721",167296,"WIMG"
"722",1807090,"WSGR"
"723",1401876,"WLFC"
"724",1319210,"WHWN"
"725",198691,"KXOT"
"726",1672881,"WAUI"
"727",168148,"DW36BF"
"728",154471,"WXUT"
"729",36347,"WXTS-FM"
"730",167841,"KRLF"
